run, Re, We, Np, Csg, Cls, Als, D1, D2, D3, D4, X1, Y1, X2, Y2, X3, Y3, X4, Y4, MEAN(Wa), STD(Wa), MEAN(La), STD(La) 
1001, 6383, 386, 2, 3.05341e-12, 0.25722, 0.370303, 0.00169766005, 0.00100283413, 0, 0, 0.00259434159, 0.0270938659, 0.000377636733, 0.0288418434, 0, 0, 0, 0, 8.70947684e-07, 3.06799692e-05, 0.00314580292, 0.000245920114
1002, 5027, 690, 4, 7.37372e-12, 0.106513, 0.174368, 0.00192834459, 0.00157594539, 0.000524450857, 0.00170626513, 0.00252699304, 0.0298239948, -0.00230236475, 0.0296871739, -0.00192206258, 0.0262881068, 0.00314009864, 0.0272267837, 4.35386419e-07, 1.33812386e-08, 0.0031428169, 7.73412557e-07
1003, 4929, 802, 3, 4.06485e-12, 0.193217, 0.260318, 0.000944047427, 0.00124037448, 0.00165703655, 0, 0.000970562277, 0.0291713693, 0.00319578212, 0.0275974912, 0.000169642426, 0.0307120536, 0, 0, 9.07668655e-07, 2.75368155e-05, 0.00314845594, 0.000342620391
1004, 3421, 219, 1, 8.31107e-13, 0.945003, 0.972113, 0.00102868752, 0, 0, 0, 0.00214524379, 0.0319211645, 0, 0, 0, 0, 0, 0, 6.80580166e-07, 1.79231943e-08, 0.00314629159, 1.06292923e-07
1005, 3315, 670, 2, 2.95644e-12, 0.265657, 0.405773, 0.000629083772, 0.0018353489, 0, 0, -0.00226866596, 0.030203132, -0.000931522332, 0.0263132683, 0, 0, 0, 0, 7.51074508e-07, 1.63363284e-05, 0.003145394, 3.63187519e-05
1006, 7170, 896, 2, 3.05574e-12, 0.257024, 0.37968, 0.000857419931, 0.00177637968, 0, 0, 0.00336154197, 0.0318728034, -0.00145218378, 0.0292474533, 0, 0, 0, 0, 6.25985446e-07, 9.29557186e-09, 0.00314447429, 1.20461473e-06
1007, 8846, 229, 2, 2.82127e-12, 0.278385, 0.376217, 0.00150158564, 0.00115645639, 0, 0, 0.000205391706, 0.0260060528, 0.00295528204, 0.0319482656, 0, 0, 0, 0, 5.95474903e-07, 9.12889897e-06, 0.00314397004, 2.99405265e-05
1008, 9367, 534, 1, 1.67408e-12, 0.469152, 0.684946, 0.00145996822, 0, 0, 0, -0.000954526272, 0.0302286195, 0, 0, 0, 0, 0, 0, 6.05476854e-07, 9.13086017e-06, 0.00314392799, 5.94762253e-05
1009, 9808, 376, 3, 7.98729e-12, 0.098331, 0.181207, 0.00174380164, 0.00184005862, 0.00193470238, 0, -0.00106144457, 0.0273043711, -0.000921772528, 0.0301498757, 0.00217547867, 0.0286334129, 0, 0, 6.3917688e-07, 1.16337073e-05, 0.00314391832, 6.02362596e-05
1010, 8012, 926, 3, 2.77149e-12, 0.283385, 0.325568, 0.00152632779, 0.000823737438, 0.000721490022, 0, 0.00266049822, 0.0288866503, 0.00323112926, 0.0320149507, 0.0027735648, 0.0300268565, 0, 0, 5.75288924e-07, 6.26051269e-09, 0.00314350769, 2.24529655e-07
1011, 1902, 817, 1, 2.21408e-12, 0.354729, 0.595591, 0.00167900315, 0, 0, 0, -0.00121705817, 0.0286651994, 0, 0, 0, 0, 0, 0, 6.66003028e-07, 9.58919884e-06, 0.00314387773, 5.37513248e-05
1012, 2280, 486, 2, 4.11682e-12, 0.190778, 0.313002, 0.00133466563, 0.0018602059, 0, 0, -0.000556546884, 0.0267978208, -0.0024364472, 0.0267041796, 0, 0, 0, 0, 7.45372681e-07, 1.28063027e-05, 0.00314393054, 4.25687203e-05
1013, 6031, 617, 2, 4.91584e-12, 0.159769, 0.283514, 0.00190250598, 0.00162465632, 0, 0, 0.00112465239, 0.0282877415, -0.000837315059, 0.0276877016, 0, 0, 0, 0, 8.5089997e-07, 2.18971908e-05, 0.00314402707, 6.33055074e-05
1014, 7856, 897, 2, 2.66064e-12, 0.295192, 0.41343, 0.000728584688, 0.00169020558, 0, 0, 0.00168804827, 0.0262766725, -0.00211944774, 0.0305463501, 0, 0, 0, 0, 7.90171378e-07, 7.33779127e-09, 0.00314372602, 1.71757138e-07
1015, 5528, 571, 1, 1.29152e-12, 0.608121, 0.779821, 0.00128234507, 0, 0, 0, -0.00217510508, 0.0272538287, 0, 0, 0, 0, 0, 0, 7.37508701e-07, 7.88869856e-09, 0.00314346512, 1.52704022e-07
1016, 1270, 568, 1, 2.98987e-12, 0.262686, 0.512529, 0.00195110771, 0, 0, 0, 0.000843568511, 0.0305711081, 0, 0, 0, 0, 0, 0, 1.17239091e-06, 2.57651453e-05, 0.00314565724, 0.000147191612
1017, 3796, 723, 3, 3.51088e-12, 0.223704, 0.290457, 0.000617348213, 0.00119213071, 0.00163337125, 0, -0.0031752313, 0.0268195713, 0.00217632114, 0.0294991436, 0.00318327344, 0.02711757, 0, 0, 1.10341708e-06, 1.33755024e-08, 0.00314531725, 4.48452948e-07
1018, 7193, 500, 3, 9.3282e-13, 0.841961, 0.538246, 0.000581086366, 0.000506242413, 0.000770558399, 0, 0.00274900326, 0.0258271443, 0.00317037748, 0.0297036052, -0.00243537115, 0.0282169808, 0, 0, 1.04217634e-06, 8.91792574e-09, 0.00314501075, 4.22324745e-08
1019, 6859, 836, 1, 1.38663e-12, 0.566406, 0.7526, 0.00132872753, 0, 0, 0, 0.000529899133, 0.0286836205, 0, 0, 0, 0, 0, 0, 1.03591316e-06, 7.76060289e-06, 0.00314502303, 5.3482431e-05
1020, 1275, 507, 3, 5.20254e-12, 0.150964, 0.224984, 0.00163594075, 0.00136545667, 0.0014433649, 0, -0.00124547726, 0.0321325711, 0.00250529497, 0.0306441015, -0.00304607559, 0.030624753, 0, 0, 1.11248402e-06, 7.26205246e-06, 0.00314592784, 7.10256149e-05
1021, 5143, 511, 1, 2.39582e-12, 0.32782, 0.572555, 0.00174655631, 0, 0, 0, 0.00299811433, 0.0305246597, 0, 0, 0, 0, 0, 0, 1.05954225e-06, 9.92731017e-09, 0.00314563662, 8.77145227e-08
1022, 6443, 863, 2, 3.85919e-12, 0.203514, 0.324748, 0.00124588778, 0.00183342313, 0, 0, -0.00226959781, 0.031228937, -0.00155370531, 0.0297984465, 0, 0, 0, 0, 1.01142758e-06, 8.27044412e-09, 0.00314541665, 8.80311705e-06
1023, 2917, 417, 1, 7.74699e-13, 1.01381, 1.00688, 0.000993165565, 0, 0, 0, -0.00188183987, 0.0260162164, 0, 0, 0, 0, 0, 0, 9.67418147e-07, 1.14987977e-08, 0.00314517647, 3.97279553e-07
1024, 9183, 990, 4, 4.85711e-12, 0.161701, 0.201256, 0.00126602896, 0.00131916032, 0.00120722514, 0.00117637634, 0.00317483644, 0.0275188093, 0.0014648982, 0.0264163894, 0.000628602834, 0.0320181528, -0.00111667833, 0.0313724677, 1.00332157e-06, 1.2690935e-05, 0.00314549237, 9.95610048e-05
1025, 9197, 607, 4, 5.03967e-12, 0.155843, 0.200427, 0.00139772195, 0.00151321397, 0.000957433525, 0.00112097561, 0.00220016489, 0.027243079, -0.000110597887, 0.0288828215, 0.000857945317, 0.0257665063, 0.00134817728, 0.0301965134, 1.00411378e-06, 8.51151274e-06, 0.00314547451, 4.91110767e-05
1026, 8801, 761, 3, 5.12328e-12, 0.1533, 0.233231, 0.00141365879, 0.000992561657, 0.00188137154, 0, 0.000837505227, 0.0305196622, 0.00168485755, 0.0269132744, -0.00148520233, 0.0291984943, 0, 0, 1.02034536e-06, 1.03993031e-05, 0.00314551068, 5.41027908e-05
1027, 6258, 924, 2, 2.69e-12, 0.29197, 0.388865, 0.00152918739, 0.00104240136, 0, 0, -0.0026288308, 0.0264846375, 0.000533581828, 0.0296485279, 0, 0, 0, 0, 1.00995999e-06, 4.60769209e-06, 0.00314559289, 5.77143874e-05
1028, 6379, 650, 1, 6.83049e-13, 1.14984, 1.07231, 0.000932569118, 0, 0, 0, -0.00120399284, 0.0268073365, 0, 0, 0, 0, 0, 0, 9.73917443e-07, 7.09585024e-09, 0.00314538631, 7.28116641e-08
1029, 2881, 830, 2, 3.73073e-12, 0.210521, 0.340695, 0.000997218613, 0.00193795544, 0, 0, -0.00218345994, 0.0285553024, 0.00253957468, 0.0306056624, 0, 0, 0, 0, 9.40300232e-07, 1.00179521e-08, 0.00314520087, 7.97844612e-07
1030, 8996, 859, 2, 3.66832e-12, 0.214103, 0.338965, 0.00107574791, 0.00187440937, 0, 0, 0.00189913882, 0.0320677987, 0.00221695614, 0.0271840577, 0, 0, 0, 0, 9.08994142e-07, 5.38801228e-09, 0.0031450211, 7.75926381e-08
