run, Re, We, Np, Csg, Cls, Als, D1, D2, D3, D4, X1, Y1, X2, Y2, X3, Y3, X4, Y4, MEAN(Wa), STD(Wa), MEAN(La), STD(La) 
1, 6383, 386, 2, 3.05341e-12, 0.25722, 0.370303, 0.00169766005, 0.00100283413, 0, 0, 0.00259434159, 0.0270938659, 0.000377636733, 0.0288418434, 0, 0, 0, 0, 8.18635623e-07, 2.92151151e-05, 0.00313522054, 0.000179984936
2, 5027, 690, 4, 7.37372e-12, 0.106513, 0.174368, 0.00192834459, 0.00157594539, 0.000524450857, 0.00170626513, 0.00252699304, 0.0298239948, -0.00230236475, 0.0296871739, -0.00192206258, 0.0262881068, 0.00314009864, 0.0272267837, 4.09235905e-07, 1.2576023e-08, 0.00313357335, 2.38466499e-05
3, 4929, 802, 3, 4.06485e-12, 0.193217, 0.260318, 0.000944047427, 0.00124037448, 0.00165703655, 0, 0.000970562277, 0.0291713693, 0.00319578212, 0.0275974912, 0.000169642426, 0.0307120536, 0, 0, 1.02793424e-06, 3.39000276e-05, 0.00313719249, 0.000221272421
4, 3421, 219, 1, 8.31107e-13, 0.945003, 0.972113, 0.00102868752, 0, 0, 0, 0.00214524379, 0.0319211645, 0, 0, 0, 0, 0, 0, 7.70756832e-07, 2.0295125e-08, 0.00313561857, 4.2608177e-06
5, 3315, 670, 2, 2.95644e-12, 0.265657, 0.405773, 0.000629083772, 0.0018353489, 0, 0, -0.00226866596, 0.030203132, -0.000931522332, 0.0263132683, 0, 0, 0, 0, 8.20305174e-07, 1.59829288e-05, 0.00313520586, 3.45268291e-05
6, 7170, 896, 2, 3.05574e-12, 0.257024, 0.37968, 0.000857419931, 0.00177637968, 0, 0, 0.00336154197, 0.0318728034, -0.00145218378, 0.0292474533, 0, 0, 0, 0, 7.35788491e-07, 4.79303676e-06, 0.00313499109, 4.7336114e-05
7, 8846, 229, 2, 2.82127e-12, 0.278385, 0.376217, 0.00150158564, 0.00115645639, 0, 0, 0.000205391706, 0.0260060528, 0.00295528204, 0.0319482656, 0, 0, 0, 0, 6.81555692e-07, 8.00294146e-06, 0.00313448044, 1.84765986e-05
8, 9367, 534, 1, 1.67408e-12, 0.469152, 0.684946, 0.00145996822, 0, 0, 0, -0.000954526272, 0.0302286195, 0, 0, 0, 0, 0, 0, 6.72951289e-07, 8.24330636e-06, 0.00313454316, 6.37466305e-05
9, 9808, 376, 3, 7.98729e-12, 0.098331, 0.181207, 0.00174380164, 0.00184005862, 0.00193470238, 0, -0.00106144457, 0.0273043711, -0.000921772528, 0.0301498757, 0.00217547867, 0.0286334129, 0, 0, 6.85381595e-07, 1.0056012e-05, 0.0031345824, 6.12887091e-05
10, 8012, 926, 3, 2.77149e-12, 0.283385, 0.325568, 0.00152632779, 0.000823737438, 0.000721490022, 0, 0.00266049822, 0.0288866503, 0.00323112926, 0.0320149507, 0.0027735648, 0.0300268565, 0, 0, 6.16875338e-07, 6.71241862e-09, 0.00313434419, 1.62068179e-05
