run, t, dt, mgp.i, mgu.i, grid->tn, perf.t, perf.speed
1, 0, 1, 0, 0, 14284, 0, 0
1, 2.14799e-06, 1.33782e-08, 2, 1, 41332, 38.0479, 101251
1, 3.85058e-06, 1.88493e-08, 2, 1, 43663, 88.3812, 91745.5
1, 5.8788e-06, 2.30317e-08, 1, 1, 45316, 142.901, 87889.1
1, 8.28256e-06, 2.34257e-08, 1, 1, 46927, 199.318, 86149.2
1, 1.07807e-05, 2.62712e-08, 1, 1, 48409, 252.092, 87019.2
1, 1.35101e-05, 2.85427e-08, 1, 1, 50275, 306.65, 87642.9
1, 1.64774e-05, 3.06787e-08, 1, 1, 52525, 366.808, 87272.4
1, 1.96644e-05, 3.31374e-08, 1, 1, 54670, 425.22, 87890.8
1, 2.31121e-05, 3.58014e-08, 1, 1, 57076, 488.174, 88001.5
1, 2.6838e-05, 3.87291e-08, 1, 1, 59347, 555.249, 87856.9
1, 3.08688e-05, 4.1868e-08, 1, 1, 61741, 623.133, 88015
1, 3.52221e-05, 4.52322e-08, 1, 1, 63676, 689.954, 88589.8
1, 3.99247e-05, 4.87996e-08, 1, 1, 65446, 764.708, 88372.9
1, 4.5e-05, 5.27574e-08, 1, 1, 66697, 834.396, 88916.9
1, 5.05053e-05, 5.7528e-08, 2, 1, 67321, 907.604, 89118.8
1, 5.6464e-05, 6.01655e-08, 1, 1, 67870, 981.519, 89289.9
1, 6.25914e-05, 6.31731e-08, 1, 1, 68197, 1057.83, 89277.7
1, 6.92966e-05, 7.20962e-08, 1, 1, 68056, 1130.23, 89577.5
1, 7.73528e-05, 9.19495e-08, 1, 2, 68416, 1217.27, 88777
1, 8.60749e-05, 8.26246e-08, 2, 2, 68485, 1308.31, 87837.4
1, 9.44098e-05, 8.64587e-08, 2, 2, 68626, 1394.27, 87340.2
1, 0.000103582, 9.828e-08, 2, 2, 68626, 1481.09, 86849
1, 0.000113559, 9.44019e-08, 2, 2, 68872, 1572.8, 86156.5
1, 0.000123585, 1.06602e-07, 2, 2, 69418, 1656.85, 85958.1
1, 0.000134623, 1.17558e-07, 2, 2, 70066, 1744.12, 85655.7
1, 0.000147306, 1.36408e-07, 2, 2, 70459, 1833.59, 85300.3
1, 0.000160826, 1.22177e-07, 1, 2, 71068, 1918.03, 85234.4
1, 0.000173298, 1.33384e-07, 2, 2, 71716, 1997.61, 85406.8
1, 0.000187776, 1.53438e-07, 2, 2, 72418, 2085.23, 85278.7
1, 0.000203066, 1.49356e-07, 2, 2, 72562, 2164.92, 85490.6
1, 0.000217291, 1.38769e-07, 2, 2, 72661, 2252.2, 85399.6
1, 0.0002321, 1.56842e-07, 1, 2, 73483, 2337.18, 85420
1, 0.000247737, 1.54888e-07, 2, 2, 74350, 2427.63, 85281.6
1, 0.000263048, 1.51569e-07, 2, 2, 75193, 2520.44, 85106.8
1, 0.000278273, 1.53278e-07, 2, 1, 75628, 2605.72, 85214.6
1, 0.000293774, 1.56855e-07, 2, 2, 76534, 2694.55, 85226.9
1, 0.000309588, 1.59285e-07, 1, 1, 76855, 2801.79, 84700.9
1, 0.000325641, 1.61905e-07, 1, 1, 77734, 2896.39, 84601.6
1, 0.000341991, 1.65016e-07, 2, 1, 78334, 2987.24, 84638.7
1, 0.00035866, 1.68288e-07, 2, 1, 79204, 3090.54, 84359.1
1, 0.000375647, 1.71453e-07, 2, 1, 80083, 3200.7, 83942.3
1, 0.000392947, 1.74527e-07, 2, 2, 80896, 3304.57, 83739.4
1, 0.000410322, 1.71068e-07, 3, 2, 82018, 3419.85, 83298.5
1, 0.000428212, 1.81319e-07, 2, 2, 82417, 3547.83, 82611.8
1, 0.000446522, 1.84852e-07, 2, 2, 83320, 3670.16, 82114.6
1, 0.000465189, 1.88444e-07, 2, 2, 83722, 3798.96, 81529.7
1, 0.000484219, 1.92112e-07, 2, 2, 84250, 3926.04, 81030.5
1, 0.000503613, 1.95709e-07, 2, 2, 84676, 4058.12, 80475.8
1, 0.000523363, 1.99296e-07, 2, 2, 85243, 4188.27, 80004.9
1, 0.000543479, 2.02969e-07, 2, 2, 85759, 4306.84, 79786.3
1, 0.00056396, 2.06665e-07, 2, 2, 86314, 4425.07, 79599.9
1, 0.000584825, 2.10618e-07, 3, 2, 86920, 4540.29, 79487.5
1, 0.000606093, 2.14695e-07, 3, 2, 87928, 4654.57, 79414.1
1, 0.000627772, 2.18861e-07, 2, 2, 88486, 4777.45, 79217.2
1, 0.000649874, 2.23157e-07, 3, 2, 89731, 4903.59, 78997.2
1, 0.000672411, 2.27534e-07, 2, 2, 90553, 5031.17, 78786.2
1, 0.000695382, 2.31828e-07, 4, 2, 91852, 5169.3, 78445
1, 0.000718637, 2.26245e-07, 3, 2, 92587, 5302.49, 78212.3
1, 0.00074141, 2.39808e-07, 2, 2, 93724, 5428.11, 78118.1
1, 0.000765648, 2.44629e-07, 2, 2, 94894, 5553.3, 78055.4
1, 0.000790348, 2.49361e-07, 2, 2, 96100, 5675.53, 78057.2
1, 0.000815523, 2.54034e-07, 2, 2, 97255, 5802.59, 78014.7
1, 0.000841152, 2.58519e-07, 2, 2, 98239, 5929.64, 77991
1, 0.000867233, 2.62956e-07, 3, 2, 98887, 6061.62, 77918.4
1, 0.000893731, 2.66891e-07, 2, 2, 99856, 6196.78, 77823
1, 0.000920597, 2.70338e-07, 2, 2, 100921, 6333.25, 77731
1, 0.000947792, 2.73459e-07, 2, 2, 101959, 6469.15, 77666.5
1, 0.000975289, 2.76527e-07, 2, 2, 102979, 6607.68, 77588.4
1, 0.00100313, 2.8031e-07, 2, 2, 104203, 6746.22, 77529.8
1, 0.00103139, 2.84927e-07, 2, 2, 105298, 6888.14, 77451.6
1, 0.00106013, 2.90008e-07, 2, 2, 106384, 7027.09, 77425.8
1, 0.00108943, 2.96692e-07, 2, 2, 107473, 7170.63, 77366.8
1, 0.00111977, 3.10858e-07, 2, 2, 108595, 7322.06, 77242.3
1, 0.00115182, 3.30721e-07, 2, 2, 110179, 7466.64, 77210.8
1, 0.00118609, 3.54782e-07, 4, 2, 111523, 7617.28, 77138.6
1, 0.00122266, 3.79395e-07, 3, 2, 113050, 7770.43, 77063.6
1, 0.00126203, 4.03407e-07, 3, 2, 114787, 7928.06, 76968.9
1, 0.00130318, 4.21832e-07, 2, 2, 116014, 8085.85, 76894.1
1, 0.00134623, 4.27144e-07, 2, 2, 116941, 8250.64, 76771.2
1, 0.00138819, 4.15517e-07, 3, 2, 118603, 8420.16, 76623.1
1, 0.00143013, 4.25846e-07, 3, 2, 120082, 8596.16, 76442.4
1, 0.00147373, 4.49915e-07, 4, 2, 121249, 8778.44, 76229.4
run, t, dt, mgp.i, mgu.i, grid->tn, perf.t, perf.speed
2, 0, 1, 3, 2, 14284, 8839.19, 76159
2, 3.56408e-06, 1.76701e-08, 2, 2, 58843, 69.1688, 77958.6
2, 5.82411e-06, 2.53562e-08, 2, 1, 62203, 148.849, 77026.6
2, 8.57744e-06, 3.10095e-08, 2, 1, 64072, 223.85, 79461.5
2, 1.17063e-05, 2.9563e-08, 1, 1, 66181, 294.159, 82625.5
2, 1.49e-05, 3.35778e-08, 1, 1, 68308, 369.556, 83966.8
2, 1.83986e-05, 3.68754e-08, 1, 1, 70390, 445.589, 85191.1
2, 2.22591e-05, 4.03231e-08, 1, 1, 72673, 523.858, 86124.8
2, 2.64962e-05, 4.44088e-08, 1, 1, 75130, 604.963, 86801.2
2, 3.11492e-05, 4.86737e-08, 2, 1, 77638, 689.212, 87286.1
2, 3.62455e-05, 5.32458e-08, 1, 2, 80200, 781.429, 87093.8
2, 4.18166e-05, 5.81621e-08, 1, 1, 82711, 869.617, 87632.4
2, 4.78879e-05, 6.32656e-08, 1, 1, 84754, 963.911, 87745.7
2, 5.44871e-05, 6.86641e-08, 1, 1, 86647, 1066.35, 87345
2, 6.16336e-05, 7.42362e-08, 2, 2, 88465, 1167.52, 87275.9
2, 6.93409e-05, 7.9891e-08, 1, 1, 90337, 1269.73, 87294.5
2, 7.75685e-05, 8.24449e-08, 1, 1, 91939, 1377.97, 87048.3
2, 8.56735e-05, 7.99933e-08, 1, 1, 93406, 1488.57, 86806.2
2, 9.37175e-05, 8.15523e-08, 1, 1, 94585, 1597.29, 86785
2, 0.000102103, 8.68404e-08, 1, 1, 95713, 1713.87, 86430.3
2, 0.000111282, 9.76911e-08, 1, 2, 97021, 1834.38, 85998.6
2, 0.000121787, 1.09953e-07, 1, 2, 98608, 1962.95, 85353.1
2, 0.000133091, 1.15921e-07, 2, 2, 99649, 2091.04, 84862.9
2, 0.000144313, 1.10464e-07, 1, 2, 100330, 2221.32, 84384.5
2, 0.000155379, 1.11409e-07, 2, 2, 101170, 2348.69, 84100.9
2, 0.000166698, 1.15536e-07, 2, 2, 101662, 2473.87, 83946.5
2, 0.000178498, 1.21729e-07, 2, 2, 101935, 2602.12, 83717.1
2, 0.000191391, 1.37675e-07, 2, 2, 102211, 2740.17, 83228
2, 0.000205791, 1.47508e-07, 2, 2, 102772, 2875.99, 82858.7
2, 0.000220845, 1.53422e-07, 2, 2, 103381, 3014.08, 82486.2
2, 0.000236415, 1.57597e-07, 2, 2, 104122, 3157.42, 82024.3
2, 0.000251868, 1.52193e-07, 2, 1, 105280, 3286.95, 81976.1
2, 0.000266983, 1.50937e-07, 1, 1, 106867, 3415.91, 81986.4
2, 0.000282139, 1.52136e-07, 1, 1, 107983, 3546.88, 81988.4
2, 0.000297378, 1.52626e-07, 1, 1, 109258, 3677.1, 82038
2, 0.000312716, 1.54594e-07, 3, 1, 110731, 3811.17, 82038.2
2, 0.000328377, 1.58753e-07, 2, 2, 111961, 3942.82, 82126.1
2, 0.000344491, 1.63793e-07, 1, 2, 113041, 4080.82, 82106
2, 0.000361173, 1.69763e-07, 2, 1, 113557, 4220.7, 82071
2, 0.000378443, 1.75473e-07, 2, 1, 114073, 4362.2, 82019
2, 0.000396251, 1.8048e-07, 1, 2, 115096, 4508.14, 81906.4
2, 0.000414616, 1.86847e-07, 2, 2, 115960, 4660.32, 81711.9
2, 0.000433638, 1.93515e-07, 2, 1, 117100, 4807.22, 81639.2
2, 0.000453333, 2.00403e-07, 2, 1, 118195, 4954.01, 81596.5
2, 0.000473735, 2.07592e-07, 2, 1, 118900, 5111.23, 81405.7
2, 0.000494874, 2.15272e-07, 3, 2, 119701, 5277.41, 81102.4
2, 0.000516832, 2.23904e-07, 4, 2, 120337, 5440.3, 80879.6
2, 0.000539687, 2.33322e-07, 1, 2, 121048, 5609.26, 80596.2
2, 0.000563576, 2.44735e-07, 2, 2, 121453, 5774.4, 80392.6
2, 0.000588739, 2.59179e-07, 2, 2, 122419, 5943, 80161.3
2, 0.000614883, 2.57706e-07, 3, 2, 122674, 6114.14, 79922.4
2, 0.000640908, 2.52466e-07, 2, 2, 123340, 6296.8, 79558.3
2, 0.000665132, 2.35702e-07, 1, 1, 123622, 6472.59, 79305.1
2, 0.00068898, 2.46486e-07, 2, 2, 124165, 6647.04, 79087.9
2, 0.000714632, 2.71373e-07, 2, 2, 125158, 6826.05, 78840.4
2, 0.000742688, 2.88053e-07, 3, 2, 126175, 7002.08, 78653.5
2, 0.000773409, 3.23885e-07, 3, 2, 127246, 7180.46, 78464.1
2, 0.000805542, 3.151e-07, 3, 2, 128398, 7365.15, 78232.4
2, 0.000837122, 3.19241e-07, 2, 2, 129532, 7559.33, 77929.7
2, 0.000869385, 3.28935e-07, 2, 2, 130726, 7744.09, 77752
2, 0.000902865, 3.31382e-07, 2, 2, 131755, 7934.46, 77540.5
2, 0.000935238, 3.15309e-07, 3, 2, 132850, 8132.07, 77283.4
2, 0.000966014, 2.99201e-07, 2, 2, 133735, 8328.78, 77059.3
2, 0.000995464, 2.94216e-07, 3, 2, 134311, 8521.05, 76894.4
2, 0.00102484, 2.91623e-07, 2, 2, 134857, 8717.06, 76709.4
2, 0.00105415, 2.94233e-07, 2, 2, 135451, 8913.04, 76540
2, 0.00108378, 3.01552e-07, 2, 2, 135865, 9106.49, 76404.9
2, 0.00111467, 3.17465e-07, 2, 2, 136540, 9309.72, 76199.2
2, 0.00114806, 3.47747e-07, 3, 2, 137188, 9516.11, 75984.9
2, 0.00118421, 3.72711e-07, 3, 2, 137962, 9726.57, 75753.9
2, 0.00122062, 3.56258e-07, 3, 2, 138154, 9938.3, 75528.8
2, 0.00125616, 3.57225e-07, 2, 2, 138223, 10149.7, 75316.2
2, 0.00129158, 3.31978e-07, 3, 2, 138670, 10356.6, 75147.9
2, 0.0013267, 3.74961e-07, 4, 2, 139054, 10562.9, 74994.8
2, 0.00136463, 3.67082e-07, 3, 2, 139507, 10779.5, 74778.9
2, 0.00140191, 3.84054e-07, 3, 2, 140143, 10991.1, 74610.9
2, 0.00144081, 3.86752e-07, 4, 2, 141100, 11201.2, 74467.1
2, 0.00147971, 4.0862e-07, 3, 2, 141091, 11407.3, 74358.8
2, 0.00151879, 3.99809e-07, 3, 2, 141385, 11625.3, 74180.3
2, 0.00156076, 4.54893e-07, 3, 2, 141862, 11852.5, 73952.8
2, 0.00160479, 4.17153e-07, 4, 2, 142333, 12076.3, 73757
2, 0.00164798, 4.47672e-07, 3, 2, 142171, 12305.4, 73540.3
2, 0.00169149, 4.32009e-07, 3, 2, 142900, 12520.7, 73414.6
2, 0.00173534, 4.49415e-07, 3, 2, 143725, 12743.9, 73252.6
2, 0.00178176, 4.7143e-07, 4, 2, 144700, 12965.6, 73111.9
2, 0.00182953, 4.90533e-07, 4, 2, 145789, 13195, 72941.8
2, 0.00188076, 5.48729e-07, 3, 2, 147142, 13427.1, 72772.1
run, t, dt, mgp.i, mgu.i, grid->tn, perf.t, perf.speed
3, 0, 1, 3, 2, 14284, 13467.4, 72740.3
3, 3.81232e-06, 1.81632e-08, 2, 2, 45055, 51.9782, 80789.1
3, 6.12262e-06, 2.61098e-08, 2, 2, 47422, 104.686, 84394.2
3, 8.98959e-06, 3.21386e-08, 1, 1, 48952, 160.73, 84966.8
3, 1.2265e-05, 3.15691e-08, 1, 1, 50047, 209.703, 88745.4
3, 1.56797e-05, 3.56481e-08, 1, 1, 51340, 260.447, 90922.5
3, 1.94335e-05, 4.00752e-08, 1, 1, 52375, 313.646, 92018.8
3, 2.37626e-05, 4.78736e-08, 1, 1, 53269, 366.202, 93237.2
3, 2.9646e-05, 6.64171e-08, 1, 1, 54163, 423.317, 93336.2
3, 3.60512e-05, 6.28144e-08, 2, 2, 55450, 482.851, 93170.5
3, 4.22703e-05, 6.27038e-08, 1, 1, 57001, 537.064, 94236.9
3, 4.87747e-05, 6.63898e-08, 1, 1, 58660, 599.246, 94108.5
3, 5.55967e-05, 7.15618e-08, 1, 1, 60376, 663.28, 94006
3, 6.32186e-05, 8.1358e-08, 1, 1, 61753, 726.372, 94251.6
3, 7.22955e-05, 1.02515e-07, 1, 1, 62959, 792.778, 94228.2
